,Estrada,Wiener,Gutman,Enthalpy reported by Gharagheizi,Cluster,State,Name
0,133.2199935,7100,26048,10960.52755,7,1,abietic acid
1,56.95313966,800,3203,6013.523824,6,2,acenaphthene
2,52.6500839,944,2873,3566.534587,6,3,acetal
3,15.32635766,42,90,1100.636618,4,1,acetaldehyde
4,20.10914047,86,208,999.5993241,4,2,acetamide
5,17.61600562,63,147,823.1190076,4,3,acetic acid
6,29.87656794,252,708,1681.27286,4,3,acetic anhydride
7,22.82566639,111,273,1657.438881,4,3,acetone
8,40.99780333,460,1531,3984.286528,6,3,acetophenone
9,35.12791618,336,938,2516.147699,4,3,acetylacetone
10,15.32635766,42,90,876.8793849,4,3,acetyl chloride
11,7.635733838,10,19,1258.844884,4,1,acetylene
12,17.39286127,65,155,1559.840624,4,3,acrolein
13,22.17518239,121,313,1384.309398,4,2,acrylamide
14,19.68228148,92,232,1311.055937,4,3,acrylic acid
15,47.30118265,710,2099,2604.60112,4,2,adipic acid
16,37.71450923,380,1055,2271.757488,4,3,adiponitrile
17,14.8807585,48,114,1853.144888,4,1,allene
18,34.66965409,366,1058,2554.158101,4,3,allyl acetate
19,22.40862665,116,293,1734.287726,4,3,allyl alcohol
20,24.91205546,148,382,1895.109112,4,3,allylamine
21,32.68722792,267,717,1816.009258,4,3,3-amino-1-propanol
22,52.98760731,780,2217,3231.566807,6,3,"2-amino-2,3-dimethylbutane"
23,52.98259362,822,2385,3245.960826,6,3,1-amino-2-ethylbutane
24,52.98256402,837,2445,3245.960826,6,3,1-amino-2-methylpentane
25,32.68792714,262,697,1809.339898,4,3,1-amino-2-propanol
26,52.98833872,777,2205,3222.337052,6,3,"2-amino-3,3-dimethyl butane"
27,52.982574,834,2433,3235.327625,6,3,1-amino-3-methylpentane
28,52.98544249,798,2289,3231.76148,6,3,3-amino-3-methylpentane
29,52.98396867,825,2397,3238.423167,6,3,2-amino-4-methylpentane
30,63.71877218,1638,6331,1379.408447,4,1,p-aminoazobenzene
31,63.9534194,1495,5659,3029.919557,6,1,p-aminodiphenylamine
32,42.45461701,562,1653,2215.720077,4,1,2-aminoethoxyethanol
33,52.98180343,858,2529,3239.943408,6,3,2-aminohexane
